mmsi,SHIP_IMO,SHIP_NO,SHIP_TYPE_CODE,SHIP_DWT,SHIP_GROSSTON,SHIP_SPEED,SHIP_BREADTH,SHIP_DEPTH,SHIP_LENGTH,SHIP_ENGINE_POWER,SHIP_BUILT_YEAR,N,vesselType,TEUCapacity,lengthOverall
413379770,9169366,A010016000119,拖船,2047,1974,15.6,14.6,7.4,66,9000,1998,130,anchor handling tug,,66
413379770,9169366,A010016000119,拖船,2047,1974,15.6,14.6,7.4,66,9000,1998,130,anchor handling tug,,66
413379770,9169366,A010016000119,拖船,2047,1974,15.6,14.6,7.4,66,9000,1998,130,anchor handling tug,,66
413459310,9207429,A070117000018,散货船,44094,26029,12,30.4,16.5,185.74,8311,1999,159,,,
413702190,9586916,A070510000174,散货船,36631,22257,12.5,28.8,14.6,179.88,6480,2010,152,bulk carrier,,179.88
477194500,9829772,C9829772,散装化学品船,13209,8860,13.2,22,35,114,3320,2018,164,chemical tanker,,120
477767800,9494230,C9494230,散货船,179787,93960,14,45,24.7,292,18660,2009,170,,,
413302080,9538323,A020010000087,散货船,53300,32460,13.5,32.26,17.5,190,9480,2010,139,,,
413593850,9856995,A120018000001,油船,6111,5408,13,17.6,10.1,108,2574,2018,159,asphalt tanker,,108
413593850,9856995,A120018000001,油船,6111,5408,13,17.6,10.1,108,2574,2018,159,asphalt tanker,,108
413593850,9856995,A120018000001,油船,6111,5408,13,17.6,10.1,108,2574,2018,159,asphalt tanker,,108
477142500,9749025,B9749025,集装箱船,25273,15730,13,26.6,0,158.93,5640,2017,13,chemical tanker,,158.93
477142500,9749025,B9749025,集装箱船,25273,15730,13,26.6,0,158.93,5640,2017,13,chemical tanker,,158.93
477142500,9749025,B9749025,集装箱船,25273,15730,13,26.6,0,158.93,5640,2017,13,chemical tanker,,158.93
477883400,9301756,C9301756,散货船,56953,30722,14,32.26,17.62,189.99,8208,2007,152,bulk carrier,,189.99
565100000,9308704,A060306990008,散货船,55539,30953,13,32.26,12.5,189.9,8200,2005,21,bulk carrier,,189.9
355532000,9523574,395622,杂货船,13325,9983,12.7,20.5,14.5,124.55,4200,2010,151,Roll On Roll Off,,124.55
413705920,9244269,A080618000012,散货船,48169,26555,14.3,30.95,16.4,189.33,7443,2001,158,bulk carrier,,189.33
477347900,9712761,C9712761,集装箱船,21355,17119,13,27.6,14,171.99,12050,2014,175,,,
477947300,9493107,CHK-3529,散货船,,151825,12,57,,330,25200,2012,109,bulk ore carrier,,330
412032000,9494371,A020008000141,散货船,76427,40896,13.8,32.26,19.6,225,8833,2008,136,bulk carrier,,225
412474190,9605451,A140011000202,散装化学品船/油船,4429,2947,10,15,7.4,97.25,2060,2011,154,Combined chemical and oil tanker,,97.25
413332720,9155664,A010016000163,拖船,,1974,12,14.6,7.4,66,9000,1997,47,anchor handling fire fighting tug/supply,,66
477401900,9845738,CHK-5251,集装箱船,35350,26771,19,32.2,17.1,188.8,13700,2015,187,fully cellular containership,2700,186
477401900,9845738,CHK-5251,集装箱船,35350,26771,19,32.2,17.1,188.8,13700,2015,187,fully cellular containership,2700,186
477779700,9431238,A090110990029,矿/散/油船,1000,116396,16,52.5,24.3,314.66,22500,2010,167,bulk ore carrier,,324.99
636018986,9844552,B9844552,散货船,208573,107526,15.5,50,48,299.95,15131,2019,137,bulk carrier,,299.95
412842000,9566942,A090011000016,散货船,56842,32964,12.5,32.26,18,189.99,9480,2011,69,bulk carrier,,189.99
413630110,9622021,A120111000133,油船,30119,20563,14,29,14.4,177.21,6480,2011,174,,,
636018487,9847073,B9847073,散货船,180668,94528,15,45,24.9,292,15748,2019,51,bulk carrier,,292
373032000,9861201,B9861201,液化气船,3999,4235,13,17.6,8.1,94.62,3000,2019,182,Liquefied Petroleum Gas Carrier,,99.9
538006800,9764001,684-16,散货船,81914,43001,14.5,32,51,228,9660,2016,133,,,
565616000,9365673,A060607990024,集装箱船,,13760,20,23.25,11.5,148,9480,2007,158,,,
413405430,9419060,A070305000711,集装箱船,11806,8564,12,19.8,10.5,139.36,4400,2007,138,,,
413494940,9153874,A090018000008,杂货船,16957,14021,13,23,14.1,153,6031,1998,158,,,
413825408,9677882,A120013000001,油船,6110,5392,11.5,17.6,10.1,108,2574,2014,155,asphalt tanker,,108
414137000,9636589,A020013000041,散货船,76413,41779,13.5,32.26,19.6,225,9108,2013,156,bulk carrier,,225
414137000,9636589,A020013000041,散货船,76413,41779,13.5,32.26,19.6,225,9108,2013,156,bulk carrier,,225
414137000,9636589,A020013000041,散货船,76413,41779,13.5,32.26,19.6,225,9108,2013,156,bulk carrier,,225
477209100,9834014,CHK-5097,集装箱船,12336,9967,11.6,24.8,11.2,141,7448,2015,185,fully cellular containership,1011,141
477209100,9834014,CHK-5097,集装箱船,12336,9967,11.6,24.8,11.2,141,7448,2015,185,fully cellular containership,1011,141
636090966,9318058,A000090966,集装箱船,107612,91649,25,42.8,24.6,,68640,2006,199,,,
477510300,9532513,C9532513,散货船,400106,201384,14,65,30.4,360,29400,2010,156,,,
414119000,9650456,A070012000026,散货船,54800,32964,13.8,32.26,18,189.99,8500,2012,159,bulk carrier,,189.99
477742900,9458779,CHK-2585,散货船,93251,51130,12,38,20.7,229.2,12240,2010,128,,,
412016000,9175420,A050102513,多用途船,1,15589,15,25.2,14.1,169,7550,1999,11,general cargo with container capacity,,169
413320000,9132961,A090007000035,散货船,69512,36561,14,32.2,18.3,225,8914,1996,56,,,
414350000,9290529,A010017000151,集装箱船,55800,54605,24.52,32.2,22.1,294.14,45780,2004,163,,,
414647000,9618513,A050118000141,散货船,56444,33044,15.19,32.26,18,185.64,9480,2012,159,,,
413358210,9536026,A060011000001,油船,25604,18382,15,27.8,15,158,6480,2011,154,product tanker,,158
441203000,9819442,B9819442,散装化学品船/油船,3478,2993,14,14.4,7.8,91.44,2427,2018,164,chemical tanker,,91.4
414386000,9364813,A080618000029,散货船,53452,30002,11.5,32.26,17.3,189.94,9480,2006,158,bulk carrier,,189.94
414386000,9364813,A080618000029,散货船,53452,30002,11.5,32.26,17.3,189.94,9480,2006,158,bulk carrier,,189.94
477739800,9622942,CHK-3390,散货船,56880,33042,12,32.26,18,189.99,9480,2011,52,,,
477800200,9113162,B9113162,集装箱船,11064,7998,17,20,10.5,135,8310,1995,192,,,
403581000,9306809,9306809,散装化学品船,44999,29575,14,32.22,18.83,183.02,9480,2005,163,Combined chemical and oil tanker,,180.02
403581000,9306809,9306809,散装化学品船,44999,29575,14,32.22,18.83,183.02,9480,2005,163,Combined chemical and oil tanker,,180.02
403581000,9306809,9306809,散装化学品船,44999,29575,14,32.22,18.83,183.02,9480,2005,163,Combined chemical and oil tanker,,180.02
413860000,9562295,A180009000059,散货船,57081,32911,14.2,32.26,18,189.99,9480,2009,67,,,
667001563,9114047,B9114047,杂货船,1500,1457,10.5,12,7.2,74.99,1000,1994,147,,,
412543000,9154098,A140009000067,散货船,72424,37881,14.4,32.2,18.7,225,8826,1997,80,bulk carrier,,225
412543000,9154098,A140009000067,散货船,72424,37881,14.4,32.2,18.7,225,8826,1997,80,bulk carrier,,225
412543000,9154098,A140009000067,散货船,72424,37881,14.4,32.2,18.7,225,8826,1997,80,bulk carrier,,225
412923000,8226961,A030101075,特种用途船,,4412,14.5,16,7.4,104.5,5940,1984,24,,,
477035600,9799446,CHK-4822,油船,7645,6998,11,20,11.1,109.9,3030,2015,159,asphalt tanker,,109.9
412076010,8888927,A040103271,多用途船,1,4061,10,16.8,7.8,98.5,2160,1995,126,general cargo with container capacity,,98.5
412076010,8888927,A040103271,多用途船,1,4061,10,16.8,7.8,98.5,2160,1995,126,general cargo with container capacity,,98.5
412076010,8888927,A040103271,多用途船,1,4061,10,16.8,7.8,98.5,2160,1995,126,general cargo with container capacity,,98.5
413527660,9814399,A110018000010,油船,7286,7414,12,19.5,11,114.92,3330,2018,180,asphalt tanker,,114.92
414277000,9223198,A070016000030,散货船,73081,38399,14.5,32.26,19.2,225,10185,2001,158,,,
477353400,9607605,CCN20087804956,散货船,23000,15849,12,24.4,14,159.6,4440,2008,58,bulk carrier,,159.6
538005734,9322384,9322384,液化气船,48315,29654,12,32,46,186,8510,2004,231,chemical tanker,,186
413736000,9216975,A010009000068,散货船,52394,30053,13.5,32.26,17,189.99,7800,2001,154,,,
477434700,9609823,C9609823,散货船,56546,33037,12,32.26,18,189.99,9480,2011,160,bulk carrier,,189.99
563095400,9840738,B9840738,集装箱船,37621,32828,21.4,35,17,182,16080,2019,189,fully cellular containership,2500,185.99
563095400,9840738,B9840738,集装箱船,37621,32828,21.4,35,17,182,16080,2019,189,fully cellular containership,2500,185.99
414261000,9254537,B9254537,散货船,75318,39691,14,32.2,19.15,225,9797,2003,149,bulk carrier,,224.95
371898000,9832341,B9832341,滚装船,4265,16408,20,27,18.7,144.9,11581,2018,12,roll on roll off with container capacity,150,144.9
371898000,9832341,B9832341,滚装船,4265,16408,20,27,18.7,144.9,11581,2018,12,roll on roll off with container capacity,150,144.9
371898000,9832341,B9832341,滚装船,4265,16408,20,27,18.7,144.9,11581,2018,12,roll on roll off with container capacity,150,144.9
414071000,9579274,A020012000060,散货船,76000,41830,14.54,32.25,19.7,224.9,9500,2012,131,bulk carrier,,224.9
414071000,9579274,A020012000060,散货船,76000,41830,14.54,32.25,19.7,224.9,9500,2012,131,bulk carrier,,224.9
477319600,9628685,CHK-3511,散货船,12312,10820,12.5,22,14.3,125,4440,2013,91,general cargo,,125
477319600,9628685,CHK-3511,散货船,12312,10820,12.5,22,14.3,125,4440,2013,91,general cargo,,125
373912000,9837614,B9837614,油船,299981,156331,14.5,60,29.5,336,24510,2019,214,,,
477861200,9598775,CHK-3047,杂货船,8543,7243,12,19.6,11.8,110.4,2647,2009,119,general cargo,,110.4
413271170,9128257,A040310990005,散货船,73049,38520,14.6,32.24,19.1,224.98,11800,1997,127,,,
413526060,9802578,A110017000004,油船,13307,11081,14,22.6,11.8,145.9,4320,2017,160,asphalt tanker,,145.9
413526060,9802578,A110017000004,油船,13307,11081,14,22.6,11.8,145.9,4320,2017,160,asphalt tanker,,145.9
370800000,9603714,C9603714,散货船,56699,32964,13,32.26,18,189.99,9480,2012,10,bulk carrier,,189.99
413466640,9567506,A070510000171,散货船,35000,22458,14,28.8,14.6,179.88,6480,2010,163,bulk carrier,,179.88
477892700,9566966,CHK－2868,散货船,180562,91971,12,45,24.75,291.8,16860,2010,143,,,
477892700,9566966,CHK-2868,散货船,175966,91971,14,45,24.75,292,16860,2010,143,,,
413687000,9494395,A020009000095,散货船,76463,40896,14.5,32.26,19.6,225,8833,2009,9,bulk carrier,,225
477121100,9632753,CHK-4884,集装箱船,45762,37199,21,34.9,18.9,221.16,22890,2013,160,,,
412120000,9192674,A050102618,多用途船,1,19955,12,26.2,14.7,182.67,6300,2000,135,,,
413332170,9226671,A111111111111,散货船,48907,28085,14.5,32.2,16.5,189.96,7700,2001,153,bulk carrier,,189.96
413363820,9685841,A070320000030,散装化学品船/油船,4382,2974,10,15,7.4,98,1765,2015,182,chemical tanker,,98
477711500,9481427,CHK2641,散货船,79471,43498,14,,,222.84,11900,2009,157,bulk carrier,,229
477711500,9481427,CHK2641,散货船,79471,43498,14,,,222.84,11900,2009,157,bulk carrier,,229
353428000,9467607,B9467607,集装箱船,139418,140096,25.8,48.4,,365.8,98280,2010,215,,,
636019110,9845269,B9845269,散货船,81170,43968,13,32.26,39,229,9930,2019,148,bulk carrier,,229
413123000,9292395,A090004000053,散货船,56533,33511,14,32.26,18,199.99,8510,2004,141,bulk carrier,,199.99
413123000,9292395,A090004000053,散货船,56533,33511,14,32.26,18,199.99,8510,2004,141,bulk carrier,,199.99
477810400,9739989,C9739989,液化气船,50000,48419,16.8,,,226.05,12420,2016,176,,,
566955000,9632002,UN9224312,集装箱船,177509,167658,20.4,51,76.2,397.88,62030,2013,203,,,
371718000,9881495,B9881495,散货船,180516,94481,14,45,28,292,15748,2020,11,bulk carrier,,292
371718000,9881495,B9881495,散货船,180516,94481,14,45,28,292,15748,2020,11,bulk carrier,,292
371718000,9881495,B9881495,散货船,180516,94481,14,45,28,292,15748,2020,11,bulk carrier,,292
412478730,9722730,A090016000006,杂货船,37993,26770,13.8,28.5,15.8,189.99,6960,2016,154,general cargo with container capacity,1015,189.99
412478730,9722730,A090016000006,杂货船,37993,26770,13.8,28.5,15.8,189.99,6960,2016,154,general cargo with container capacity,1015,189.99
412478730,9722730,A090016000006,杂货船,37993,26770,13.8,28.5,15.8,189.99,6960,2016,154,general cargo with container capacity,1015,189.99
314481000,9836490,B9836490,散货船,81746,43071,12,32.26,20,225.1,9660,2019,151,bulk carrier,,228.99
314481000,9836490,B9836490,散货船,81746,43071,12,32.26,20,225.1,9660,2019,151,bulk carrier,,228.99
357146000,9846330,B9846330,散货船,63507,35835,14.5,32.24,19.15,199.98,7560,2019,45,,,
372569000,9384492,B9384492,散装化学品船,46695,25174,14.9,,,182.03,8670,2007,166,,,
413157000,9473389,B9473389,油船,297491,152740,15,60,,330,25480,2007,150,crude oil tanker,,330
413459180,9787716,A412439619,水产品运输船,6000,5790,14,,,111.47,3309,2015,142,,,
413527240,9233480,A110017000015,散货船,46513,25545,13.8,30.95,16.4,183,7487,2001,148,,,
477307900,9739666,CHK-4524,集装箱船,119031,113042,24.2,,,336.96,51000,2016,181,fully cellular containership,10100,337
477518600,9685346,CHK-4115,集装箱船,115177,113042,23.8,,,323.57,51000,2014,210,fully cellular containership,10100,336.95
477817300,9631266,CHK-3338,散货船,95379,52709,15,38,20.7,235,10404,2012,134,bulk carrier,,235
477817300,9631266,CHK-3338,散货船,95379,52709,15,38,20.7,235,10404,2012,134,bulk carrier,,235
563102900,9562350,CHK-3554,散装化学品船/油船,6299,5064,12,18,9.6,94.92,2970,2008,145,chemical tanker,,99.62
563102900,9562350,CHK-3554,散装化学品船/油船,6299,5064,12,18,9.6,94.92,2970,2008,145,chemical tanker,,99.62
636019069,9852286,B9852286,散装化学品船/油船,11767,7368,14,20.8,11,119.62,3600,2019,152,chemical tanker,,119.62
636019069,9852286,B9852286,散装化学品船/油船,11767,7368,14,20.8,11,119.62,3600,2019,152,chemical tanker,,119.62
413543000,9395202,A020008000144,散货船,177878,91205,12,45,24.8,292,16860,2008,122,bulk carrier,,292
477127900,9685358,CHK-4114,集装箱船,115178,113042,22.95,48.2,0,323.57,51000,2014,134,fully cellular containership,10100,336.95
477172200,9800776,C9800776,散装化学品船/油船,12259,8006,13.5,19.6,11.5,124.03,3840,2015,162,chemical tanker,,124.03
412070420,9478054,A060008000041,工程船,11121,11121,14,24.6,10,131.4,12600,2008,161,suction hopper dredger,,131.4
412070420,9478054,A060008000041,工程船,11121,11121,14,24.6,10,131.4,12600,2008,161,suction hopper dredger,,131.4
412070420,9478054,A060008000041,工程船,11121,11121,14,24.6,10,131.4,12600,2008,161,suction hopper dredger,,131.4
412070420,9478054,A060008000041,工程船,11121,11121,14,24.6,10,131.4,12600,2008,161,suction hopper dredger,,131.4
413361430,9643776,A060012000008,重大件运输船,11500,9968,11.7,32.25,8,142.8,4412,2012,115,,,
563073200,9847035,B9847035,散货船,10050,7324,13.2,19.6,13.2,108.44,3250,2019,100,general cargo,,108.44
538008314,9853852,B9853852,油船,318744,160457,15,60,0,330,24500,2019,152,crude oil tanker,,333
538008314,9853852,B9853852,油船,318744,160457,15,60,0,330,24500,2019,152,crude oil tanker,,333
636019206,9842061,B9842061,集装箱船,150893,140976,23,48,29,365.84,46422,2019,216,,,
636018613,9853242,B9853242,油船,49772,30237,14.5,32.2,19,183.4,7320,2019,33,product tanker,,183.23
636018613,9853242,B9853242,油船,49772,30237,14.5,32.2,19,183.4,7320,2019,33,product tanker,,183.23
413226530,9485318,A100408000001,集装箱船,4500,2989,10,15.6,7.5,93.8,2000,2007,91,fully cellular containership,230,93.8
477328900,9584190,C9584190,杂货船,32503,20969,12.5,24.4,14.1,179.9,6480,2011,22,bulk carrier,,179.9
312669000,9526849,BUN9526849,杂货船,7158,4519,11,17.2,35.8,102.7,2060,2008,142,general cargo,,110.3
412044760,7819280,A040101231,挖泥船,8781,6797,13.2,18.4,9.2,129.17,5736,1979,117,hopper dredger,,129.17
412044760,7819280,A040101231,挖泥船,8781,6797,13.2,18.4,9.2,129.17,5736,1979,117,hopper dredger,,129.17
414164000,9636618,A020013000078,散货船,76441,41779,14,32.26,19.6,225,9108,2013,58,bulk carrier,,225
441497000,9887360,B9887360,散装化学品船,4499,3881,12,16.2,8,93.09,2200,2020,90,Combined chemical and oil tanker,,99.9
477424900,9498327,CHK-3252,散货船,207900,106235,13,50,,300,17950,2011,128,bulk carrier,,300
477424900,9498327,CHK-3252,散货船,207900,106235,13,50,,300,17950,2011,128,bulk carrier,,300
477424900,9498327,CHK-3252,散货船,207900,106235,13,50,,300,17950,2011,128,bulk carrier,,300
412379870,9664976,A070012000033,散货船,35045,22475,10.5,28.8,14.6,179.88,6480,2012,148,bulk carrier,,179.88
356582000,9832717,B9832717,集装箱船,198937,219688,22,58.8,32.9,399.98,59300,2019,203,,,
477018000,9233466,CHK-0805,散货船,46901,29867,12,30.5,16.4,199.2,9510,2001,30,,,
312387000,9314569,B9314569,散货船,2829,1965,12,13.6,27,79.99,1080,2006,127,general cargo,,79.99
373672000,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,41,bulk carrier,,291.96
373672000,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,41,bulk carrier,,291.96
373672000,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,41,bulk carrier,,291.96
413360000,9488217,A020008000060,散货船,53444,32460,14,32.26,17.5,190,9480,2008,59,bulk carrier,,190
413360000,9488217,A020008000060,散货船,53444,32460,14,32.26,17.5,190,9480,2008,59,bulk carrier,,190
636019548,9867073,B9867073,散装化学品船/油船,12699,8050,13,21,11.4,126.8,3900,2019,44,,,
636018486,9847061,B9847061,散货船,180651,94528,15.15,45,25,292,15748,2019,147,bulk carrier,,292
636017236,9675638,200,散货船,181513,92722,14,45,24.7,292,16700,2014,122,bulk carrier,,291.98
636017236,9675638,200,散货船,181513,92722,14,45,24.7,292,16700,2014,122,bulk carrier,,291.98
636017236,9675638,200,散货船,181513,92722,14,45,24.7,292,16700,2014,122,bulk carrier,,291.98
636018539,9836983,B9836983,散货船,81700,43065,12,32,20,229,9660,2019,19,bulk carrier,,228.99
636018539,9836983,B9836983,散货船,81700,43065,12,32,20,229,9660,2019,19,bulk carrier,,228.99
312278000,9895135,B9895135,散货船,5307,2998,11324,15.8,7.4,91.5,1765,2019,151,general cargo,,
312278000,9895135,B9895135,散货船,5307,2998,11324,15.8,7.4,91.5,1765,2019,151,general cargo,,
312278000,9895135,B9895135,散货船,5307,2998,11324,15.8,7.4,91.5,1765,2019,151,general cargo,,
477521300,9845752,CHK-5311,集装箱船,35326,26872,17,32.2,17.1,188.8,13700,2015,193,fully cellular containership,2700,186
477521300,9845752,CHK-5311,集装箱船,35326,26872,17,32.2,17.1,188.8,13700,2015,193,fully cellular containership,2700,186
477521300,9845752,CHK-5311,集装箱船,35326,26872,17,32.2,17.1,188.8,13700,2015,193,fully cellular containership,2700,186
477986300,9448554,CVRHS4,散货船,175852,91971,14.3,,,283.2,16860,2011,168,,,
477986300,9448554,CHK-2924,散货船,175852,91971,13,45,24.75,291.8,16986,2010,168,,,
413471050,9608922,A090011000031,多用途船,27000,20684,12,27.2,14.5,179.5,8250,2011,36,general cargo with container capacity,1371,179.5
477925700,9533361,C9533361,散货船,,,14,,,,9480,2010,136,,,
477942700,9207572,C9207572,集装箱船,12675,9413,18,22.4,11,144.83,8102,2000,165,fully cellular containership,787,144.83
413444950,9651060,A070312000231,散装化学品船/油船,4395,2984,10,15.2,7,96.17,2000,2012,153,Combined chemical and oil tanker,,96.17
413444950,9651060,A070312000231,散装化学品船/油船,4395,2984,10,15.2,7,96.17,2000,2012,153,Combined chemical and oil tanker,,96.17
413444950,9651060,A070312000231,散装化学品船/油船,4395,2984,10,15.2,7,96.17,2000,2012,153,Combined chemical and oil tanker,,96.17
413941000,9432737,A120009000011,散货船,57157,33547,14,32.26,18,199.99,8510,2009,180,bulk carrier,,199.99
413941000,9432737,A120009000011,散货船,57157,33547,14,32.26,18,199.99,8510,2009,180,bulk carrier,,199.99
305792000,9508433,A020011990027,多用途船,9000,8255,16,22,10,125.3,6300,2011,31,,,
477641300,9447445,CHK-2551,散货船,56887,33036,12,18,,185.65,9480,2009,6,,,
413472650,9660815,A090012000032,散装化学品船/油船,6555,4522,12.3,17,8.9,112.68,2380,2012,156,chemical tanker,,112.68
477167300,9492608,A140011000110,散货船,76000,40913,13.5,32.26,19.6,225,7950,2011,21,bulk carrier,,225
477950400,9497218,CHK-3069,散货船,115499,64769,12,43,20.8,254,13560,2011,163,,,
209691000,9843742,B9843742,散货船,82055,44095,14.5,32.26,20,225.27,9801,2020,1,bulk carrier,,229
209691000,9843742,B9843742,散货船,82055,44095,14.5,32.26,20,225.27,9801,2020,1,bulk carrier,,229
477810200,9708514,C9708514,油船,318862,165592,14.8,60,30.5,332.95,25360,2016,166,,,
538008215,9844277,B9844277,油船,318676,160874,15,60,29.4,333,24500,2019,139,crude oil tanker,,333
548978000,9855501,B9855501,散货船,81600,43968,14.3,32,49,229,13313,2019,89,,,
209746000,9833369,B9833369,集装箱船,23417,19035,18.5,28.39,14,164.78,11150,2019,204,fully cellular containership,1800,172
477345700,9834313,B9834313,液化气船,80155,114790,19,45,26.5,295,26530,2020,222,Liquefied Natural Gas Carrier,,295
477345700,9834313,B9834313,液化气船,80155,114790,19,45,26.5,295,26530,2020,222,Liquefied Natural Gas Carrier,,295
477345700,9834313,B9834313,液化气船,80155,114790,19,45,26.5,295,26530,2020,222,Liquefied Natural Gas Carrier,,295
477257700,9657404,CHK-3967,散货船,34527,22400,12,28.8,14.6,179.88,8488,2010,34,bulk carrier,,179.88
477528600,9868883,B9868883,散货船,82000,44051,14,32.26,20,229,9930,2020,173,bulk carrier,,229
477159700,9793911,CHK-5002,集装箱船,132584,113828,22.34,48.2,22.94,318.81,42350,2018,196,fully cellular containership,11923,330
413230950,9896919,A060120000027,散装化学品船/油船,6003,5030,12,17.2,8.9,114.95,2574,2020,154,,,
412121000,9192662,A050102582,多用途船,28000,19955,13,26.2,14.7,182.67,6300,2000,141,general cargo with container capacity,595,182.67
412121000,9192662,A050102582,多用途船,28000,19955,13,26.2,14.7,182.67,6300,2000,141,general cargo with container capacity,595,182.67
413653000,9102538,A990109000007,集装箱船,1,7998,17.3,20.8,10.5,135.2,8311,1995,176,fully cellular containership,668,135.2
477435800,9633836,CHK-3313,散货船,8499,6981,12,19,11.5,112.21,3150,2011,17,general cargo,,112.21
413017070,9403712,A020008000053,挖泥船,,14801,15.5,27,10.5,155,17400,2008,170,,,
413017070,9285768,A090104000223,工程船,,10980,15,24.5,10.1,132.48,12000,2004,170,hopper dredger,,132.48
538008310,9856086,B9856086,油船,318744,160457,15,60,30.4,333,24500,2020,142,,,
477269200,9848522,B9848522,散货船,82025,44114,15.3,32.26,20,229,9801,2019,144,bulk carrier,,229
477163300,9446946,C9446946,散货船,56952,33036,12,,,185.65,9480,2008,12,,,
412521060,9209726,A120400108,多用途船,4371,3580,12,16.2,7.2,93,1980,1999,122,general cargo with container capacity,231,93
413447490,9655937,A070012000028,液化气船,2453,2993,12.5,14.8,7.2,99.96,2574,2012,136,Liquefied Petroleum Gas Carrier,,99.96
477585600,9535785,CHK-4198,油船,296393,156726,16,60,29.7,330,25480,2010,153,crude oil tanker,,330
563107100,9858709,B9858709,集装箱船,37500,32965,18,35,17,182,16080,2019,215,fully cellular containership,2700,185.99
371319000,9868326,B9868326,集装箱船,224983,232311,19,61.5,33.2,399.9,59600,2020,173,fully cellular containership,23000,399.9
477903500,9583627,CHK-2850,散货船,56953,33044,12,32.26,18,189.99,9480,2010,140,bulk carrier,,189.99
354252000,9443877,9443877,散装化学品船/油船,46159,30027,12,32.2,19.1,183,8285,2008,151,Combined chemical and oil tanker,,183
354252000,9443877,9443877,散装化学品船/油船,46159,30027,12,32.2,19.1,183,8285,2008,151,Combined chemical and oil tanker,,183
477065800,9445318,C9445318,散货船,228783,116955,11,52.5,0,325,22500,2010,110,bulk ore carrier,,324.99
563065300,9806897,B9806897,散货船,398459,203403,14.5,65,30.4,352.82,24200,2018,162,,,
209682000,9841964,B9841964,散货船,82041,44095,13.5,32.26,20,225.29,9801,2019,4,bulk carrier,,229
636018988,9844576,B9844576,散货船,208131,107526,14,50,48,299.95,15131,2019,160,,,
477995100,9329447,CHK-1526,散货船,174413,88930,14.5,45,24.5,289,16860,2004,121,,,
538008312,9845697,B9845697,散货船,318744,160457,14,60.03,30.4,332.99,24500,2019,150,crude oil tanker,,333
232024253,9843390,B9843390,散货船,211013,109716,14.2,49,25.3,300,17500,2019,148,bulk carrier,,299.97
477224500,9593775,CHK-3658,散货船,81602,45271,14.5,32.26,,229,10260,2013,123,bulk carrier,,229
563088800,9852949,B9852949,液化气船,50513,46668,15,32.25,23.2,229.98,13500,2019,161,Liquefied Petroleum Gas Carrier,,229.98
413306350,9640487,A120013000005,液化气船,4191,4796,13.5,18.2,8,109.67,3310,2015,162,Liquefied Petroleum Gas Carrier,,109.67
477684100,9727637,CHK-4371,散货船,63356,36378,13.5,32,18.5,200,6482,2015,20,,,
477684100,9727637,A090115990062,散货船,63355,36378,13.5,32.26,18.5,194.5,8050,2014,20,,,
563107300,9865556,B9865556,散货船,81795,44397,14.3,32.26,20,225.32,9801,2020,16,bulk carrier,,229
636018544,9831206,B9831206,散装化学品船/油船,44999,29528,12,32.2,19.1,183.06,10320,2018,147,product tanker,,183
538008611,9845154,B9845154,油船,299420,153905,13,60,29.6,329.98,24500,2019,238,,,
477521700,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,142,bulk carrier,,291.96
477521700,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,142,bulk carrier,,291.96
477521700,9860790,B9860790,散货船,182917,93458,12,45,24.6,287.5,15815,2020,142,bulk carrier,,291.96
477594100,9868895,B9868895,散货船,81600,44051,14,32.26,20,229,9930,2020,169,,,
563097100,9847059,B9847059,散货船,10028,7318,12,19.6,13.2,108.44,3250,2019,156,,,
257501000,9818539,B9818539,散装化学品船/油船,49100,34128,14,32,16,183,7820,2019,160,chemical tanker,,182.88
257501000,9818539,B9818539,散装化学品船/油船,49100,34128,14,32,16,183,7820,2019,160,chemical tanker,,182.88
414180000,9702998,A010013000260,散货船,48614,30171,13.5,32.26,16,189.99,7415,2013,131,bulk carrier,,189.99
533130819,9291171,C444444,油船,6067,5072,14,18.2,9.6,109.99,3089,2003,126,asphalt tanker,,109.99
477027700,9739977,CHK-4539,液化气船,54746,48419,16.8,,,219.52,12420,2016,170,Liquefied Petroleum Gas Carrier,,226.05
538008159,9794006,B9794006,油船,318521,159962,15,60,30.4,332.98,24500,2019,159,crude oil tanker,,332.98
413422350,9627332,A070312000336,供给船,3520,3214,12,18,7.8,78,8824,2012,166,tug/supply,,78
538005890,9845506,B9845506,油船,,160655,15,60,65,333,24500,2019,146,crude oil tanker,,333
538005890,9845506,B9845506,油船,,160655,15,60,65,333,24500,2019,146,crude oil tanker,,333
413040040,9511868,A010008000153,拖船,0,1448,13,12.6,6,62,2942,2008,134,tug,,62
413366530,9037123,A030110000158,油船,38615,24252,14,28,16.8,190,8380,2001,56,product tanker,,190
563107800,9861225,B9861225,散货船,69754,57934,13,37,25,215,8780,2020,150,,,
477739700,9629639,CHK-3151,散货船,75480,40913,13,32.26,19.6,225,8833,2012,8,bulk carrier,,225
413378980,9224398,A110005000008,散装化学品船/油船,3711,2270,12.1,14.2,7,86.95,1958,2000,128,,,
