callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
,,5076987,,Container,,13,,,DIANA,7,4.4,,1543,1946,1059,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1959,,
EDBI,Spain,5148352,,Container,Bilbao,12,,,BLANCA DEL MAR,6.81,6.02,,2044,1335,,UNKNOWN,CONTENEMAR SA,1960,1350,994
WLRL,United States of America,5170185,366476000,Container,,20,,,DIAMOND STATE,13.62,10.2,192.94,20190,16303,9982,UNKNOWN,UNITED STATES GOVT MARAD,1962,,
TCCI2,Turkey,5191957,271002325,Container,,12,,,KARABACAK 1,,3,,1100,1047,,UNKNOWN,ABMAR DENIZCILIK,1957,,
EDDZ,Spain,5202110,,Container,Las Palmas De Gran Canari,14,,,Ras Tina,,4.46,,1956,1576,,,,1960,,
,Paraguay,5202201,,Container,,9,,,LAGO YPACARAI,,3.5,,1030,275,,UNKNOWN,LINEAS PANCHITA G SA,1945,,
ZPKP,Paraguay,5202213,755630162,Container,,,,,LAGO YPOA,,3.1,,1372,1122,,UNKNOWN,MERCO FLUVIAL,1961,,
ZPKN,Paraguay,5262500,,Container,,,,,OLIMPO,,2.5,,1023,1086,,UNKNOWN,LINEAS PANCHITA G SA,1961,,
WLRK,United States of America,5386605,367140000,Container,,20,,20,EQUALITY STATE,13.62,10.2,192.94,20190,16518,9986,UNKNOWN,UNITED STATES GOVT MARAD,1961,,
WMSM,United States of America,6421347,366035000,Container,,21,,,GREEN MOUNTAIN STATE,12.95,9.62,193.55,16443,15018,8555,UNKNOWN,UNITED STATES GOVT MARAD,1965,,
,,6504046,,Container,,10,,,Anastasia,,3.96,,1274,499,,,,1964,,
WCJI,United States of America,6605022,366565000,Container,"Norfolk, VA",20,,,KEYSTONE STATE,13.6032,10.2,192.94,17782,17641,9439,PACIFIC-GULF MARINE,UNITED STATES GOVT MARAD,1966,,7180
,,6605101,,Container,,13,,13,JULL II,8.23,6.5,,4826,3864,1807,UNKNOWN,JUBILEE MARINE,1966,,
YYCD,"Venezuela, Bolivarian Republic of",6716857,,Container,,11,,,DORYS HELENA,,4.1,,1180,953,,UNKNOWN,CARGAS DE EXPORTACIONES,1967,,
,China,6806200,,Container,,,,,Yi He,,,,25078,20609,,,COSCO CONTAINER LINES,,,
WZJC,United States,6812211,366759000,Container,"NEW YORK, NY",22.5,,,HORIZON CHALLENGER,,9.78,,21257,18775,,,,1968,,
HP9310,Panama,6819673,357635000,Container,Panama,11.75,,,AKA I,,4.45,,2006,1298,,UNKNOWN,BELLINI NAVIGATION,1968,,
WZJD,United States,6820579,366616000,Container,"New York, NY",,,,HORIZON DISCOVERY,,,,20658,19428,,,,1968,,
,,6825880,,Container,,21.5,1530,,Direct Kookaburra,,10.69,,29288,27823,,,,1969,,
WZJF,United States,6905252,366454000,Container,,,1258,,HORIZON CRUSADER,,,,20685,18888,,,,1969,,
,,6906701,,Container,,18.5,408,,Doal Mangan,,9,,15521,11229,,,,1969,,
,,6915609,,Container,,13,,,Ise,,5.06,,2519,499,,,,1969,,
,China,6917645,,Container,,13,146,,XIANG HUI 5,6.2,4.1,,3000,1476,779,UNKNOWN,NANTONG TONGLAN SHIPPING,1969,,
3EVI6,Panama,6921969,,Container,,23,1306,,MSC STEFANIA,,10.5,200.78,24245,23881,10012,UNKNOWN,STEFANIA NAVIERA,1969,,
,,6926086,,Container,,15,238,,Yong Nian,,9.17,,15315,9097,,,,1969,,
3FPF5,Panama,6930403,,Container,GERMANY,21,1132,,MSC GIULIA,,10.57,171.59,21185,16670,8504,UNKNOWN,RISORIO CORP.,1970,,
,,6930764,,Container,,15,152,,Vigour Mariner,,4.85,,4165,2929,,,,1969,,
,,7000657,,Container,,14,124,,Ana Raquel,,4.71,,2210,1457,,,,1969,,
,,7000891,,Container,,12,191,,CHANG SONG,7.78,5.07,,2923,2978,893,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1969,,
9LYC83,Sierra Leone,7007057,667381000,Container,SIERRA LEONE,12.8,185,,OLD LA,,4.2,,4500,2910,1239,UNKNOWN,YKJ SHIPPING,1970,,
3EPJ4,Panama,7013616,,Container,,20,920,,VANILLA,,10.36,159.8,16070,15769,,MSC SHIP MANAGEMENT HK LTD,JASON INTERNATIONAL SA,1970,,
HP8226,Panama,7014658,351595000,Container,Panama,13.5,90,,MARGARITA I,,4.49,,1150,1184,,UNKNOWN,MARGARITA CARGO LINE,1970,,
3FNN9,Panama,7015274,355986000,Container,PANAMA,20,1132,,KASPADU 1,,10.57,171.88,21185,16670,8504,UNKNOWN,EBISONG INVESTMENTS INC.,1970,,
CPB3031,Sierra Leone,7015327,667316000,Container,FREETOWN SIERRA LEONE,14,229,,SHARK,,4.45,,4914,4079,1459,ARADOS SHIPPING CO SRL,RAMA H SHIPPING LTD.,1970,,
3ETI9,Panama,7015925,357487000,Container,,14,124,,DINA,,4.71,,2181,2188,,UNKNOWN,MAR-WHIRRY MARINE CORP.,1970,,
ERXN,"Moldova, Republic of",7019220,214182414,Container,MORONI COMOROS,14,229,,ALM,,4.45,,4945,4079,1457,SAFETY MANAGEMENT-ISM SRL,FAIRLINE MARITIME SA,1970,,
3FPE5,Panama,7020542,,Container,PANAMA,20,1132,,MEHAFFEY,,10.57,171.59,21305,16670,8504,UNKNOWN,WALCOR HOLDINGS INC.,1970,,
ZPEW,Paraguay,7022239,,Container,,16,124,,FILIPPOS,,4.7,,2181,823,,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1970,,
YHTG,Indonesia,7024457,525005093,Container,,12,150,,KM.NIAGA BAHARI,,5.02,86.2,3261,2175,1634,UNKNOWN,HASAN FU,1971,,
3EEY8,Panama,7025877,,Container,PANAMA,18.6,800,,MSC ELIANA,,9.62,176.62,14258,13875,7724,MSC SHIP MANAGEMENT HK LTD,ELIANA NAVIERA,1970,,
UIFL,Russian Federation,7025994,,Container,,17.8,704,,GAMZAT TSADASA,,9.79,,14141,13212,7802,FESCO,FESCO,1971,,
J8YP3,Saint Vincent and the Grenadines,7027722,377951000,Container,KINGSTOWN SAINT VINCENT & GRENADINES,15.5,124,,HALCON DEL MAR,,4.69,,2210,1621,752,UNKNOWN,AQUILLA SHIPPING CO INC.,1970,3200,2355
J8FD8,Saint Vincent and the Grenadines,7030573,,Container,CYPRUS,11.5,167,,LADY MAGA,,5.02,,2520,2166,881,UNKNOWN,MAGA MARITIME LTD.,1970,,
3EUW9,Panama,7030937,,Container,Panama,17,336,,Msc Marina,,8.91,,10423,8425,,,DENARIUS INVESTMENTS INC.,1970,,
DUEK2,Philippines,7031565,,Container,,11.25,172,,POLA BAY,,5.91,,4383,2477,,UNKNOWN,OCEANIC CONTAINER LINES INC.,1970,,
3EQG5,Panama,7033044,354362000,Container,PANAMA,21,1132,,MSC MICHELE,,10.57,171.59,21185,16670,8504,UNKNOWN,MICHELE NAVIERA,1971,,
5IM655,"Tanzania, United Republic of",7033161,677085500,Container,KINGSTOWN SAINT VINCENT & GRENADINES,14,124,,A.C.SANDINO,,4.7,,2174,1649,909,UNKNOWN,ISLAND INTREPID,1971,,
DUGA8,Philippines,7036981,,Container,,11.5,397,,WEST OCEAN 3,,6.1,,4432,2749,,UNKNOWN,WEST OCEAN LINES &AMP; TRANSPORT,1970,,
,,7039622,,Container,,13.5,124,,ISLAND CLIPPER,,4.7,,2210,1649,,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1971,,
,,7046015,,Container,,19,793,,Canmar Spirit,,9.17,,16963,15647,,,,1971,,
VOGT,Canada,7052363,316003040,Container,CANADA,15.5,113,,ASTRON,,4.7,82.08,1910,1746,549,UNKNOWN,LABRADOR MARINE INC.,1971,,
,Hong Kong,7102352,,Container,Hong Kong,17,793,,Canmar Venture,,9.17,,16963,15647,,,,1971,,
3EQZ6,Panama,7104673,,Container,PANAMA,26.5,2594,,MSC CLAUDIA,,13,248.91,40800,50303,19695,MSC SHIP MANAGEMENT HK LTD,HEDRAS INTERNATIONAL CORP.,1971,,
WTST,United States,7105471,368074000,Container,"Honolulu, HI",22.5,2305,,LIHUE,18.288,10.7,220.68,38656,30877,11000,MATSON NAVIGATION CO. INC.,MATSON NAVIGATION CO. INC.,1971,,
,Indonesia,7105768,,Container,,13,263,,PELOPOR,,6.54,,5246,3760,,UNKNOWN,JANGKAR PACIFIC,1971,,
HP5202,Panama,7107780,354365000,Container,PANAMA,19,1050,,SURFER 2608,,9.85,166.29,18909,13276,6851,MSC SHIP MANAGEMENT HK LTD,GAVIA INTERNATIONAL SHIPPING,1971,,
EQTG,"Iran, Islamic Republic of",7108954,422163000,Container,B.BUSHEHR,12.5,113,,PISHGAM,,4.69,,1905,1593,,UNKNOWN,DENJ SAFAR KISH CO.,1971,,
BVBV,China,7109362,412441750,Container,,16.5,470,16.5,YUE HENG,10.22,8.06,,9050,6666,3861,UNKNOWN,FUZHOU HENING SHIPPING,1971,,
3FYX4,Panama,7111999,,Container,,22,2528,,ANSOVY,,13,248.91,35280,50646,,MSC SHIP MANAGEMENT HK LTD,ORETA ENTERPRISES INC.,1972,,
XUSV8,Cambodia,7112486,515372000,Container,PHNOM PENH CAMBODIA,15,177,,TIAN FENG,,5.22,,3664,3438,1496,YANTAI XIAOCHUAN SHIPPING CO,XIAOCHUAN SHIPPING CO LTD.,1971,,
WPGK,United States of America,7116315,366792000,Container,"New York, NY",22,3918,,MATSON NAVIGATOR,16.1544,10.08,237.79,31203,29812,13976,HORIZON LINES LLC,MATSON NAVIGATION CO. INC.,1972,,10631
3FXY5,Panama,7116810,,Container,PANAMA,20,1050,,MSC AURORA,,9.85,166.26,11911,13276,6851,MSC SHIP MANAGEMENT HK LTD,NOROC INTERNATIONAL INC.,1971,,
,Panama,7117773,,Container,Panama,19,1536,,Msc Rosemary,,9.67,,27091,24602,,,,1972,,
3FWO5,Panama,7121243,,Container,,27.4,2750,,H RELIANCE,,12.75,254.73,35229,51608,,MSC SHIP MANAGEMENT HK LTD,FICANTO CORP.,1972,,
9HFK6,Malta,7121671,248461000,Container,MALTA,16,978,,MSC ARABIA,,9.36,162.04,21834,14453,7511,GOLDENPORT SHIPMANAGEMENT LTD,DOMINATE SHIPPING,1972,,
,,7124702,,Container,,15,145,,Al Johffa,,8.86,,15139,8932,,,,1972,,
,United States,7125316,,Container,,,2128,,EWA,,,,38656,26746,,,MATSON NAVIGATION,1972,,
,,7125718,,Container,,21.5,1132,,Maersk Meonia,,9.69,,18584,20325,,,,1972,,
,,7126762,,Container,,21.5,3055,,Nol Risso,,13.03,,48544,56822,,,,1972,,
URAM,Ukraine,7203261,,Container,,15,218,,ERIDAN,,6.93,,6270,5365,,UNKNOWN,PERSEY JSC-SEVASTOPOL,1972,,
XUPD7,Cambodia,7205609,515507000,Container,BELIZE,11.3,169,,RUSALKA,,4.1,,3482,3716,1213,UNKNOWN,RUSALKA SHIPPING SA,1971,,
,Malta,7206433,,Container,,16,978,,MSC SHARJAH,,9.36,162.04,21876,14453,,UNKNOWN,PLATINUM MARITIME,1972,,
IKCH,Italy,7209241,,Container,Napoli,12,93,,Nelie,,5.16,,2640,1968,,,,1972,,
,,7214052,,Container,,18,208,,Tamarin,,9.7,,10609,8085,,,,1972,,
,,7214777,,Container,,,,,SCAN UTRESCHT,,,,1920,1718,,,HAFENSTEIG & HOLSTEIN,1972,,
WPGJ,United States,7218462,366604000,Container,"New York, NY",22.6,1446,,HORIZON FAIRBANKS,,10.69,,22086,20987,,HORIZON LINES LLC,HORIZON LINES LLC,1973,,
HQVY9,Honduras,7218943,334067000,Container,,12,124,12,MIAMI-F,6.05,4.71,,2152,1598,761,UNKNOWN,CORAL CARRIERS INC.,1972,,
D8OX,"Korea, Republic of",7222554,440626000,Container,,12.2,182,,GRAKE,,5.82,,4456,3451,1782,HYUNSOENG INDUSTRY CO LTD,HYUNSOENG INDUSTRY CO LTD,1972,,
3EZD3,Panama,7222724,,Container,,14.5,276,,MILD OCEAN,8.31,6.64,,5630,3637,2158,UNKNOWN,CLAWSON SHIPPING,1972,,
,"Korea, Republic of",7223120,,Container,,15.5,50,,Hero 1,,7.34,,6380,5062,,,,1973,,
WCHF,United States of America,7224306,368600000,Container,"Wilmington, DE",23,1664,,MATSON CONSUMER,16.4592,10.39,206.35,25651,25644,10811,HORIZON LINES LLC,HORIZON LINES LLC,1973,,11936
SWXX,Greece,7224758,,Container,Piraeus,23,2952,,PARIS,,13.03,,49593,55889,,,,1972,,
,,7225063,,Container,,11.25,122,,Socrates,,6.62,,6197,3926,,,,1972,,
XUMC3,Cambodia,7226574,,Container,,14,336,,FEEDER,,4.69,109.55,4625,4145,,UNKNOWN,MALTESE ARCHIPELAGO MARITIME,1972,,
WCJV,United States of America,7226689,366575000,Container,"Norfolk, VA",20,1070,,GOPHER STATE,16.6116,9.63,177.34,16709,18413,5510,INTEROCEAN AMERICAN SHIPPING,UNITED STATES GOVT MARAD,1973,,13050
KIRF,United States of America,7233278,,Container,"NEW YORK, NY",,964,,HORIZON HAWAII,,,,22086,20987,,HORIZON LINES LLC,HORIZON LINES LLC,1973,,
YGQQ,Indonesia,7234492,525019062,Container,,11,113,,SERAYA JAYA,,4.7,,1905,1907,,UNKNOWN,RPTD SOLD INDONESIA,1972,,
3ECR6,Panama,7302249,,Container,,17.2,324,,DA HONG,,6.51,109.28,6601,4593,2309,UNKNOWN,GREEN RIVER MARINE SHIPPING,1973,,
9VDF,Singapore,7302275,,Container,,14.25,504,,BANGA BIROL,,8.28,,12529,8360,,ONE HERD SHIPMANAGEMENT,DAT MARINE,1973,,
SWWM,Greece,7306312,,Container,,26.5,2952,,EDINBURGH,,13.02,,48810,55889,,,,1972,,
3EHU7,Panama,7310143,,Container,,26,2456,,MSC SAMIA,,12.75,249.34,35480,40944,,UNKNOWN,LATREMIA CORP.,1973,,
UFLJ,Russian Federation,7311513,,Container,Vladivostok,16.2,304,,Aleksandr Fadeyev,,7.5,,6314,7312,,,,1973,,
3ENJ4,Panama,7312751,354779000,Container,,13,310,,GOOD FUTURE,,6.49,,6497,4559,,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1973,,
3EMZ6,Panama,7320253,,Container,,22.5,1300,,MSC TERESA,,9.85,194.95,20760,22042,,MSC SHIP MANAGEMENT HK LTD,RAFAELA NAVIERA,1974,,
J8B3O79,Saint Vincent and the Grenadines,7320708,376001200,Container,SAINT VINCENT & GRENADINES,14.1,218,,SILVER CASTLE,,6.93,,6270,5365,2193,KONVOY DENIZCILIK SANAYI VE TICARET LTD SIRKETI,EEC CAPITAL TRANSPORTES,1973,,
WLVD,United States,7321087,366107000,Container,"Honolulu, HI",25,1640,,LURLINE,,8.56,,22030,30506,,MATSON NAVIGATION CO. INC.,MATSON NAVIGATION CO. INC.,1973,,
,,7321594,,Container,,15,296,,HUB USAHA,10.65,6.84,,6235,4993,2270,UNKNOWN,PACIFIC LADY INC.,1973,,
YGFJ,Indonesia,7323164,525017014,Container,JAKARTA,14,128,,CLOVER,,4.8,,3953,2374,,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,1973,,
KIRH,United States,7326233,366795000,Container,"New York, NY",22,2361,,HORIZON TRADER,,10.08,,31495,28212,,,,1973,,
3FJB9,Panama,7326659,,Container,,20,2628,,MSC HALIFAX,,11.73,,32835,40390,,,,1972,,
YHEE,Indonesia,7326738,525009032,Container,JAKARTA,16,522,,M.V.PERMAI V,11.85,8.81,135.46,11875,9110,4130,UNKNOWN,EVERGREEN SHIPPING AGENCY IND,1973,,
,,7327914,,Container,,13,85,,Clotilde del Mar,,4.82,,1605,1295,,,,1974,,
,,7332294,,Container,,18,190,,Jalon,,5.79,,3881,1933,,,,1974,,
KHRC,United States of America,7334204,366365000,Container,"Honolulu, HI",25,1620,,MATSONIA,18.291,8.56,214.28,22501,33095,13002,MATSON NAVIGATION CO. INC.,MATSON NAVIGATION CO. INC.,1973,,
3EFJ3,Panama,7347512,,Container,Limassol,18,1300,,MSC FEDERICA,,9.87,,21101,21296,7237,MSC SHIP MANAGEMENT HK LTD,FEDERICA SA,1974,,
,,7348645,,Container,,14,362,,Pacific Trader,,8.92,,8348,7494,,,,1975,,
V2PB,Antigua and Barbuda,7349895,,Container,St John's,13.75,165,,Elenamaria,,4.89,,2460,2130,,,,1973,,
BUDI,Indonesia,7355416,525013004,Container,JAKARTA,16,522,,SMK PELAYARAN JKT,11.85,8.81,135,11857,9110,4130,PT. JAYAKUSUMA PERDANA LINES,PT. JAYAKUSUMA PERDANA LINES,1973,,
YGIS,Indonesia,7355442,525017021,Container,JAKARTA,12,150,,MV.COSMOS,,4.8,,4314,2458,,SALAM PACIFIC INDONESIA LINES,MANA LAGI PELAYARAN,1973,,
9HVO3,Malta,7358781,,Container,Valetta,15,628,,Sao Luis,,9.35,,17270,16119,,,,1975,,
3FUV5,Panama,7359852,,Container,,23.5,2562,,MSC ALICE,,9.27,236.13,38984,35535,12971,UNKNOWN,TARS ENTERPRISES INC.,1976,,
T8A2053,Palau,7361180,,Container,NAPOLI,21,1900,,ONE,18.7,12.22,224,30866,40594,17083,IGNAZIO MESSINA & C SPA,IGNAZIO MESSINA & C SPA,1975,31800,23713
C6QD7,Bahamas,7361207,308853000,Container,BAHAMAS,24.1,2064,,MAERSK BARCELONA,,12.22,224,37115,33400,12801,V SHIPS GERMANY,MUNIA MOBILIENGESELLSCHAFT MBH,1975,,
C6QD8,Bahamas,7361219,308852000,Container,BAHAMAS,24.5,2072,,ANKARA,,12.2,,37129,33400,12801,UNKNOWN,GULFPORT SHIPPING,1976,,
V4ZQ,Saint Kitts and Nevis,7361221,,Container,,24.5,2328,,BRISBANE MARU,,12.2,,37129,33401,12801,UNKNOWN,KAPLAN SHIPPING,1976,,
V4FB3,Italy,7361233,,Container,NAPOLI,21,1828,,NERO,18.7,12.22,224,30866,40594,17083,IGNAZIO MESSINA & C SPA,IGNAZIO MESSINA & C SPA,1976,31367,23391
SXNP,Greece,7361348,239388000,Container,GREECE,26,2382,,MSC ANTWERP,,11.68,,37852,34382,12918,COSTAMARE SHIPPING CO SA,DAVIES SHIPPING CO.,1976,,
,,7361609,,Container,,14,159,,NAUTILA,,4.89,,2500,2075,,,,1974,,
WJBJ,United States of America,7366312,366639000,Container,"New York, NY",23,1664,,MATSON PRODUCER,16.4592,10.39,206.35,25651,25644,10811,MATSON NAVIGATION CO. INC.,MATSON NAVIGATION CO. INC.,1974,,
DDDDD,Russian Federation,7369962,,Container,RUSSIA,16.2,400,,A.TVARDOVSKIY,,7.5,,6407,7312,,FESCO,FESCO,1974,,
3FZZ3,Panama,7373418,,Container,,21,2456,,MSC VIVIANA,,12.03,,35331,40801,,,,1974,,
BOYL,China,7373664,,Container,,14.6,324,,WAN QUAN HE,8.23,6.3,,6158,4028,2529,UNKNOWN,COSCO GUANGZHOU,1974,,
ELZI8,Liberia,7374113,636011457,Container,LIBERIA,16,978,,WINDWARD,,9.36,162.04,21885,14400,7509,CIEL SHIPMANAGEMENT SA,VENOR SHIPPING CO,1974,,
A8SR9,Liberia,7383877,636014284,Container,(LIBERIA),22,1596,,MSC SUDAN,,11,194.9,27795,27971,13124,UNKNOWN,NKD MARITIME BVI LTD,1976,,
A8SR8,Liberia,7383906,636014283,Container,(LIBERIA),22,1538,,MSC NAMIBIA,,11,,27893,27754,13329,UNKNOWN,NKD MARITIME BVI LTD.,1977,,
A8SR7,Liberia,7383918,,Container,(LIBERIA),22,1596,,MSC SIERRA,,11,194.9,23020,27970,13124,UNKNOWN,NKD MARITIME BVI LTD.,1977,,
HO4371,Panama,7387536,371943000,Container,Panama,13.5,116,,RAGAM,,4.78,,2137,1589,,UNKNOWN,BONAVENTURE WORLDWIDE,1974,2000,1472
,,7392141,,Container,,13.5,296,,WING LEE NO. 1,8.21,5.92,,5659,4351,1816,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1974,,
3EDX4,Panama,7394589,371692000,Container,PHILIPPINES,17,168,,MV RAGEEB 1,,6.53,,4438,4937,3157,UNKNOWN,RAGEEB AL TAEI SHIPPING &AMP; SEA,1974,,
,France,7396367,,Container,,21,1467,,Kumasi,,8.23,,21643,29572,,,CMA-CGM,1976,,
,,7397995,,Container,,12,75,,Theodora K,,6.55,,2871,700,,,,1977,,
BDVE,China,7402207,,Container,,14,308,,CHANG PENG,8.21,5.92,,5580,4522,2685,UNKNOWN,TANGSHAN ANPING MARINE CO LTD.,1975,,
H3MG,,7402219,,Container,,15,280,,JINTER STAR,,5.79,,5604,4557,,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1975,,
BODQ,China,7403380,412150000,Container,,14,680,,LIAO CHENG,11.99,8.99,,16534,11863,6742,UNKNOWN,COSCON,1975,,
3ENY5,Panama,7403392,,Container,,13.5,680,,ISARA BHUM,,8.99,143.03,16547,11857,,RCL FEEDER PTE LTD.,RCL FEEDER PTE LTD.,1975,,
HPIS,Panama,7408689,,Container,,22,1668,,BERGEN,,11,,30998,32428,,CMA CGM SA THE FRENCH LINE,CMA CGM SA THE FRENCH LINE,1979,36000,26496
HPHT,Panama,7408691,,Container,,22.6,1668,,MARSHALL ZHIVAGO,,11,,30998,32428,,CMA CGM SA THE FRENCH LINE,CMA CGM SA THE FRENCH LINE,1980,,
,,7410723,,Container,,13,210,,Tajo,,6.64,,4955,3132,,,,1976,,
9WDA6,Malaysia,7410735,,Container,Kuching,13,216,,GIKIM,,6.63,,4955,3268,,,,1976,,
,,7414860,,Container,,14.5,486,,SKYBRIDGE,8.18,5.31,,5880,4954,3005,UNKNOWN,RPTD SOLD UNDISCLOSED INTEREST,1975,,
H3EX,Panama,7416856,352881000,Container,PANAMA,21.5,1232,,MSC SHAULA,15.7,9.6,,19974,20295,7562,MSC SHIP MANAGEMENT HK LTD,RAGIZ CORP,1977,,
H9OO,Panama,7416868,,Container,,21.5,1232,,MSC PAOLA,,9.9,,19974,20295,7562,MSC SHIP MANAGEMENT HK LTD,LIMURE HOLDING SA,1978,,
V4LE,,7416911,,Container,,23,2451,,RIA,,12.03,,39454,44154,,UNKNOWN,LAVICER INVESTMENTS CORP.,1977,,
YGMA,Indonesia,7417733,,Container,JAKARTA,11.5,120,,JUPITER BARU,,5.5,,2316,2151,,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,1975,,
YGUO,Indonesia,7419987,525015197,Container,JAKARTA,12,150,,KM CANNA,7.6,6.03,79.8,4351,2551,1459,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,1975,,1715
,,7420091,,Container,Limassol,15.5,383,,Nimy,,9.45,,15094,6480,,,,1977,,
XUGY9,China,7422166,412345676,Container,MOROCCO,15.3,195,,S DRAGON,,6.3,,3357,2791,1362,HONGZHOU SHIPPING CO LTD,ANWEI MARITIME LTD.,1975,,
XUHQ3,Cambodia,7422178,,Container,,15.3,195,,S. QUEEN,,5.55,,3357,2791,,HONGZHOU SHIPPING CO LTD,PURPLE WAVE INC.,1975,,
3EPJ8,Panama,7422192,,Container,PANAMA,22,3101,,WILMINGTON,,13.15,,50819,52615,16879,UNKNOWN,E M MARITIME INVESTMENT SA,1978,,
ONAV,Belgium,7422207,205354000,Container,SAINT KITTS & NEVIS,19.5,3101,,MAERSK CONSTANTIA,,13.15,,50027,52615,16879,SAFMARINE PTY LTD,CONSTANTIA MARITIME INC.,1979,,
A8OP9,Liberia,7423029,,Container,,18,3101,,ASIA EXPRESS,,13.15,,48878,52615,,UNKNOWN,HELDERBERG MARITIME INC.,1977,,
C6SM9,Bahamas,7423031,311397000,Container,SOUTH AFRICA,21,3101,,SEDERBERG,,13.15,,48878,52615,16879,DANAOS SHIPPING CO LTD,SEDERBERG MARITIME,1978,,
,Panama,7423196,,Container,Panama,16.5,594,,Velos,,9.68,,16927,15011,,,,1978,,
V4EI2,Saint Kitts and Nevis,7425510,341353000,Container,PANAMA,15,321,,M.V.JADE,,6.37,,6279,4782,2896,UNKNOWN,STAR MATRIX LTD.,1975,,
BWIV,China,7425649,412441510,Container,,13,274,,HUA XUN,8.59,6.3,,6457,4452,1804,UNKNOWN,FUJIAN FOREIGN TRADE CENTRE,1975,,
JYGZ,Jordan,7425651,,Container,,10.5,310,,AQABA,,6.65,114.33,6635,5097,,UNKNOWN,AL-SONDOS TRANSPORT &AMP; TRADING,1976,,
,,7427702,,Container,,14,320,,Prodromos,,9.9,,15000,11782,,,,1976,,
VRCK2,Netherlands,7428380,,Container,,23.5,3005,,SKY INTEREST,,13.03,,49262,52007,,UNKNOWN,SKY INTEREST SHIPPING CO LTD.,1977,,
H9WA,Panama,7429243,,Container,PANAMA,16.5,574,,RIALTO,,8.59,,11031,8819,4362,ERYX LTD,CAMILLO INVESTMENTS INC,1977,,
PMQL,Saint Vincent and the Grenadines,7430084,376524000,Container,PONTIANAK INDONESIA,14.87,310,,SHENG DA,,6.66,122.5,6744,5075,2548,UNKNOWN,WAHANA BARUNA KHATULISTIWA,1975,,
,China,7430101,,Container,,13,312,14,TIAN YUE,8.23,6.17,,5885,4730,2276,UNKNOWN,YANGZHOU YUYANG SHIPPING,1975,,
YGGH,Indonesia,7430137,525017015,Container,JAKARTA,12,108,,SINAR MUDA,5.8,4.45,58.5,2373,1959,778,SALAM PACIFIC INDONESIA LINES,SALAM PACIFIC INDONESIA LINES,1975,,
PEOE,Netherlands,7431600,246182000,Container,,23,3126,,NEDLLOYD DUBAI,,13,248.38,49730,51982,,MAERSK SHIP MANAGEMENT BV,NOORDKAAP NV,1978,,
,,7431674,,Container,,12,91,,Thor Emilie,,4.7,,2130,1655,,,,1975,,
3FSH8,Panama,7432678,357273000,Container,,12,270,,SHUN JIANG,,6.5,,6699,4666,,UNKNOWN,SHANTOU OCEAN TRANSPORT,1976,,
3FYL5,Panama,7434432,356072000,Container,PANAMA,23.5,2562,,MSC EDNA,,10.39,236.14,38743,35599,12930,UNKNOWN,LAMATUR CORP.,1978,,1100
3FUF5,Panama,7434444,,Container,PANAMA,21.7,2562,,MSC KATIE,,10.41,236.14,38743,35599,12930,UNKNOWN,CHIMETE INVESTMENTS INC.,1977,,
P3DP2,,7435096,,Container,Limassol,15,391,,Transport Tejo,,6.31,,4300,1998,,,ZAPATA MARITIME CO LTD.,1977,,
3FTL9,Panama,7435292,,Container,,22,1560,,MSC DENISSE,,10,,23058,28176,13701,MSC SHIP MANAGEMENT HK LTD,CROSIER INVESTMENTS INC.,1977,,
UWQR,Russian Federation,7436612,,Container,Vladivostok,16.25,304,,Mikhail Prishvin,,7.5,,6407,7312,,,,1974,,
,,7500774,,Container,,11,96,,Lagik,,3.99,,2554,1721,,,,1976,,
H9XA,Panama,7502904,,Container,,21,2602,,MSC SERENA,,11,233.99,40849,38991,13039,MSC SHIP MANAGEMENT HK LTD,ASGARD HOLDINGS SA,1977,,
A8AH3,Liberia,7502916,636011596,Container,LIBERIA,21,2594,,MSC AUSTRIA,,11.7,233.99,40849,38991,14742,CIEL SHIPMANAGEMENT SA,CONVEY SHIPPING CO.,1977,,
A8AH4,Liberia,7502928,636011597,Container,LIBERIA,21,2594,,MSC GERMANY,,11,233.99,40849,38991,13039,CIEL SHIPMANAGEMENT SA,DOURO SHIPPING CO.,1978,,
A8AH5,Liberia,7502930,636011598,Container,LIBERIA,21,2594,,CV MSC MEXICO,,11,233.99,40849,38991,13039,CIEL SHIPMANAGEMENT SA,CORNAS SHIPPING CO.,1978,,
,,7503063,,Container,,13,670,,Acritas,,10.5,,24300,14374,,,,1977,,
