callsign_ogrinal,flag_normalized,imo,mmsi,my_vessel_type,port_of_registry,service_speed,teu,trial_speed,vessel_name_original,depth_moulded,draught,length_registered,deadweight,gross_tonnage,net_tonnage,ism_manager_name,owner_name,year_of_built,eng_total_bhp,eng_total_kw
PBZW,Netherlands,9612765,244670078,Container,Rotterdam,22.7,3500,,SAN VICENTE EXPRESS,19.3,12.5,,48044,39106,16794,Q-SHIPPING BV,Niledutch Breda B.V.,2014,,
CBSO,Chile,9612777,725001534,Container,VALPARAISO,22.7,3500,,SAN ANTONIO EXPRESS,19.3,12.5,,46000,38654,16794,SOUTHERN SHIPMANAGEMENT CHILE,CSAV Austral S.p.A.,2015,,
CBNO,Chile,9612789,725001547,Container,VALPARAISO,22.7,3500,,ANTOFAGASTA EXPRESS,19.3,12.5,,48039,39106,16794,SOUTHERN SHIPMANAGEMENT CHILE,CSAV Austral S.p.A.,2015,,
PBUP,Netherlands,9612791,244710009,Container,Rotterdam,22.7,3500,,ARICA EXPRESS,19.3,13,,48044,39106,16794,ANGLO-EASTERN UK LTD,NileDutch Antwerpen B.V.,2015,,
D5AD7,Liberia,9612870,636092678,Container,Monrovia,23,8000,,TOLTEN,24.6,13.5,286.31,94600,88586,42897,ANGLO-EASTERN GERMANY GMBH,Hull 1975 Co. Ltd.,2012,,
D5AD8,Liberia,9612882,636092680,Container,Monrovia,23,8000,,TIRUA,24.6,13.5,286.31,94375,88586,42897,SOUTHERN SHIPMANAGEMENT CO SA,Hull 1976 Co. Ltd.,2012,,
DJCE2,Germany,9612997,218791000,Container,Hamburg,,13000,,ANTWERPEN EXPRESS,29.85,15.5,,142020,142295,60481,HAPAG-LLOYD AG,Hapag-Lloyd AG,2013,78146,58274
DJDS2,Germany,9613006,218565000,Container,Hamburg,24.7,13000,,LEVERKUSEN EXPRESS,29.85,15.5,,142007,142295,60481,HAPAG-LLOYD AG,Hapag-Lloyd AG,2014,78146,58274
DDOR2,Germany,9613018,218566000,Container,Hamburg,,13000,,LUDWIGSHAFEN EXPRESS,29.85,15.5,350,142036,142295,60481,HAPAG-LLOYD AG,Hapag-Lloyd AG,2014,78146,58274
DDOQ2,Germany,9613020,211578000,Container,Hamburg,24.7,13000,,ULSAN EXPRESS,29.85,15.5,,142024,142295,60481,HAPAG-LLOYD AG,Hapag-Lloyd AG,2014,,
VROK9,Hong Kong,9613587,477454900,Container,HONG KONG,22.8,8888,,OOCL GENOA,24.8,14.65,,101115,90757,56265,ORIENT OVERSEAS CONTAINER LINE,FPG Shipholding Panama 21 S.A.,2015,,
VROK8,Hong Kong,9613599,477314100,Container,Hong Kong,22.8,8888,,OOCL HOCHIMINH CITY,24.8,14.65,,101047,91499,56265,ORIENT OVERSEAS CONTAINER LINE,Yamasa Sangyo Shipholding H1668A S.A.,2015,,
BIBN4,China,9613771,413380220,Container,CHONGQING,15,712,,HAI MEN,10.7,7.4,,9695,7503,3876,MINSHENG SHIPPING CO LTD,MINSHENG SHIPPING CO LTD,2011,,4400
9V9710,Singapore,9614476,566866000,Container,,15.5,2082,,SHANSI,,10.5,190.53,30700,25483,11814,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9711,Singapore,9614488,566908000,Container,Singapore,15.5,2082,,SHANTUNG,,10.5,,30814,25483,11819,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9712,Singapore,9614490,563091000,Container,Singapore,15.5,2082,,SHAOSHING,,10.5,,30814,25483,11808,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9713,Singapore,9614505,563324000,Container,Singapore,15.5,2082,,SHENGKING,,10.5,199.89,30813,25483,11813,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9714,Singapore,9614517,563709000,Container,Singapore,15.5,2082,,SHUNTIEN,,10.5,,30852,25483,11810,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9832,Singapore,9614529,563991000,Container,Singapore,15.5,2082,,SIANGTAN,,10.5,199.89,31756,25483,11805,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2013,,
9V9715,Singapore,9614531,564135000,Container,Singapore,15.5,2082,,SOOCHOW,,10.5,,30721,25483,11817,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2014,,
9V9718,Singapore,9614543,564407000,Container,Singapore,15.5,2082,,SZECHUEN,,10.5,,31288,25483,11813,The China Navigation Co Pte. Ltd.,The China Navigation Co Pte. Ltd.,2014,,
DSRE9,"Korea, Republic of",9615339,441805000,Container,JEJU,,953,18.27,DONGJIN VENUS,11.2,8.214,134.67,12844,9520,4820,DONG JIN SHIPPING CO LTD,DONG JIN SHIPPING CO LTD,2011,,
VRQR7,Hong Kong,9616802,477021200,Container,SINGAPORE,23,2800,,KOTA GAYA,16.8,12,210,38887,29015,13359,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,2012,,
VRQR3,Hong Kong,9616852,477010500,Container,SINGAPORE,23,2800,,KOTA GABUNG,16.8,12,210,38887,29015,13359,PACIFIC INTERNATIONAL LINES,PACIFIC INTERNATIONAL LINES,2013,,
OUKU2,Denmark,9618135,219668000,Container,,15,606,,MALIK ARCTICA,,8.2,,8400,10537,3162,,Royal Arctic Line A/S,2015,,
3FSG8,Panama,9618264,353082000,Container,Panama,22,8800,,MOL ABIDJAN,24.6,14.5,,110806,95390,56260,MEDITERRANEAN SHIPPING CO SRL,FURWINN SHIPPING CO,2013,63604,47430
3FYR9,Panama,9618276,357096000,Container,Panama,20,8800,,MSC AGRIGENTO,24.6,15,,110652,95390,56260,MSC SHIPMANAGEMENT LTD,Watts Shipping Inc.,2013,63604,47430
3EVX2,Panama,9618288,351819000,Container,Panama,20,8800,,MSC ALGHERO,24.6,15,,110725,95390,56260,MSC SHIPMANAGEMENT LTD,YEPTON SHIPPING INC,2013,63604,47430
3FIF7,Panama,9618290,352619000,Container,Panama,20,8800,,MSC ADELAIDE,24.6,15,,110617,95390,56260,MEDITERRANEAN SHIPPING CO SRL,Usher Navigation S.A.,2013,63604,47430
9HA4025,Malta,9618305,256858000,Container,Valletta,22,8800,,MSC ATHENS,24.6,14.5,289.73,110853,95390,56260,COSTAMARE SHIPPING CO SA,Compass Shipping 6 Corp. Ltd.,2013,63604,47430
9HA4026,Malta,9618317,256871000,Container,Valletta,20,8800,,MSC ATHOS,24.6,14.5,,110773,95390,56260,COSTAMARE SHIPPING CO SA,Compass Shipping 7 Corp. Ltd.,2013,,
9HA3483,Malta,9618587,229648000,Container,Valletta,21.5,4800,,LEONIDIO,19.6,13,,58059,48338,19957,HANSA SHIPPING GMBH & CO KG,Jialong International Ship Lease Co Ltd,2014,36288,27060
9HA3484,Malta,9618599,229649000,Container,Valletta,21.5,4800,,KYPARISSIA,19.6,13,,58087,48338,19957,HANSA SHIPPING GMBH & CO KG,Schiffahrts-Gesellschaft MARCO POLO mbH & Co. KG,2014,36288,27060
CQIW,Portugal,9619385,255805572,Container,Madeira,21.5,4800,,JADRANA,19.6,12.5,,58037,48338,21585,DOEHLE P,MS JADRANA Schiffahrtsgesellschaft mbH & Co. KG,2014,48923,36482
CQIX,Portugal,9619402,255805573,Container,Madeira,21.5,4800,,JOGELA,19.6,13,,58032,48338,21585,DOEHLE P,MS JOGELA Schiffahrtsgesellschaft mbH & Co. KG,2014,48923,36482
D5CC7,Liberia,9619426,636015664,Container,Monrovia,22,8762,,MSC ALTAMIRA,,14.52,286.67,112516,94017,51548,ACE SHIPS MANAGEMENT BV,ROME SHIPPING LTD,2012,63604,47430
D5CC8,Liberia,9619438,636015665,Container,Monrovia,22,8886,,MSC ALBANY,,14.52,299,112516,94017,51548,ACE SHIPS MANAGEMENT BV,VENETIAN SHIPPING INTL LTD,2013,63604,47430
D5CC9,Liberia,9619440,636015666,Container,Monrovia,22,8762,,MOL ANCHORAGE,,14.5,280.28,112516,94017,51548,ACE SHIPS MANAGEMENT BV,BELL MARITIME LTD,2013,63604,47430
9HA3320,Malta,9619452,229423000,Container,Valletta,22,8762,,MSC ARICA,,14.52,280.28,112516,94017,51548,BERNHARD SCHULTE GMBH & CO KG,JACOB SCHULTE SCHIFFFAHRTSGES,2012,63604,47430
VRLC2,Hong Kong,9619464,477001100,Container,Hong Kong,22,8762,,MSC AGADIR,,14.52,280.28,112516,94017,51548,BERNARD SCHULTE SHIPMANAGEMENT (INDIA),WATERORCHID HILL LTD,2012,63604,47430
VRLC3,Hong Kong,9619476,477305900,Container,Hong Kong,22,8762,,MSC ANTIGUA,,14.52,299,112516,94017,51548,BERNARD SCHULTE SHIPMANAGEMENT (INDIA),WOODLAND HILL LTD,2013,63604,47430
